,type,strikes,maturities,implied_volatilities,Spot,utc_T0
179,put,80000.0,1672387200.0,0.6556000000000001,40476.62,2022-04-16 05:43:09.976983
180,put,150000.0,1672387200.0,0.7318000000000001,40476.62,2022-04-16 05:43:09.976983
181,put,35000.0,1672387200.0,0.6661,40476.62,2022-04-16 05:43:09.976983
182,put,55000.0,1672387200.0,0.6456000000000001,40476.62,2022-04-16 05:43:09.976983
183,put,100000.0,1672387200.0,0.6727,40476.62,2022-04-16 05:43:09.976983
184,put,30000.0,1672387200.0,0.6811,40476.62,2022-04-16 05:43:09.976983
185,put,200000.0,1672387200.0,0.7948999999999999,40476.62,2022-04-16 05:43:09.976983
186,put,25000.0,1672387200.0,0.7081000000000001,40476.62,2022-04-16 05:43:09.976983
187,put,40000.0,1672387200.0,0.6535,40476.62,2022-04-16 05:43:09.976983
188,put,300000.0,1672387200.0,0.8895000000000001,40476.62,2022-04-16 05:43:09.976983
189,put,70000.0,1672387200.0,0.6509999999999999,40476.62,2022-04-16 05:43:09.976983
190,put,150000.0,1680249600.0,0.7045,40476.62,2022-04-16 05:43:09.976983
191,put,250000.0,1680249600.0,0.7751,40476.62,2022-04-16 05:43:09.976983
192,put,120000.0,1680249600.0,0.6840999999999999,40476.62,2022-04-16 05:43:09.976983
193,put,40000.0,1680249600.0,0.6638,40476.62,2022-04-16 05:43:09.976983
194,put,30000.0,1680249600.0,0.6792,40476.62,2022-04-16 05:43:09.976983
195,put,300000.0,1680249600.0,0.8114,40476.62,2022-04-16 05:43:09.976983
196,put,70000.0,1680249600.0,0.6651,40476.62,2022-04-16 05:43:09.976983
197,put,80000.0,1680249600.0,0.6665000000000001,40476.62,2022-04-16 05:43:09.976983
198,put,200000.0,1680249600.0,0.7433,40476.62,2022-04-16 05:43:09.976983
199,put,20000.0,1680249600.0,0.728,40476.62,2022-04-16 05:43:09.976983
200,put,60000.0,1680249600.0,0.6622,40476.62,2022-04-16 05:43:09.976983
201,put,50000.0,1680249600.0,0.66,40476.62,2022-04-16 05:43:09.976983
202,put,100000.0,1680249600.0,0.6712,40476.62,2022-04-16 05:43:09.976983
203,put,140000.0,1680249600.0,0.6975,40476.62,2022-04-16 05:43:09.976983
204,call,34000.0,1650096000.0,0.8073,40476.62,2022-04-16 05:43:09.976983
205,call,39000.0,1650096000.0,0.6225,40476.62,2022-04-16 05:43:09.976983
206,call,37000.0,1650096000.0,0.6692,40476.62,2022-04-16 05:43:09.976983
207,call,38000.0,1650096000.0,0.6283,40476.62,2022-04-16 05:43:09.976983
208,call,45000.0,1650096000.0,0.6812999999999999,40476.62,2022-04-16 05:43:09.976983
209,call,41000.0,1650096000.0,0.4007,40476.62,2022-04-16 05:43:09.976983
210,call,32000.0,1650096000.0,0.8073,40476.62,2022-04-16 05:43:09.976983
211,call,40000.0,1650096000.0,0.4006,40476.62,2022-04-16 05:43:09.976983
212,call,44000.0,1650096000.0,0.6812999999999999,40476.62,2022-04-16 05:43:09.976983
213,call,35000.0,1650096000.0,0.8073,40476.62,2022-04-16 05:43:09.976983
214,call,48000.0,1650096000.0,0.6812999999999999,40476.62,2022-04-16 05:43:09.976983
215,call,42000.0,1650096000.0,0.5557,40476.62,2022-04-16 05:43:09.976983
216,call,43000.0,1650096000.0,0.6452,40476.62,2022-04-16 05:43:09.976983
217,call,46000.0,1650096000.0,0.6812999999999999,40476.62,2022-04-16 05:43:09.976983
218,call,36000.0,1650096000.0,0.7509999999999999,40476.62,2022-04-16 05:43:09.976983
219,call,38000.0,1650182400.0,0.5607,40476.62,2022-04-16 05:43:09.976983
220,call,40000.0,1650182400.0,0.46009999999999995,40476.62,2022-04-16 05:43:09.976983
221,call,36000.0,1650182400.0,0.7069,40476.62,2022-04-16 05:43:09.976983
222,call,44000.0,1650182400.0,0.6425,40476.62,2022-04-16 05:43:09.976983
223,call,46000.0,1650182400.0,0.65,40476.62,2022-04-16 05:43:09.976983
224,call,35000.0,1650182400.0,0.7069,40476.62,2022-04-16 05:43:09.976983
225,call,41000.0,1650182400.0,0.44799999999999995,40476.62,2022-04-16 05:43:09.976983
226,call,43000.0,1650182400.0,0.5368999999999999,40476.62,2022-04-16 05:43:09.976983
227,call,34000.0,1650182400.0,0.7069,40476.62,2022-04-16 05:43:09.976983
228,call,32000.0,1650182400.0,0.7069,40476.62,2022-04-16 05:43:09.976983
229,call,37000.0,1650182400.0,0.631,40476.62,2022-04-16 05:43:09.976983
230,call,39000.0,1650182400.0,0.4986,40476.62,2022-04-16 05:43:09.976983
231,call,42000.0,1650182400.0,0.4633,40476.62,2022-04-16 05:43:09.976983
232,call,38000.0,1650614400.0,0.5341,40476.62,2022-04-16 05:43:09.976983
233,call,50000.0,1650614400.0,0.6285000000000001,40476.62,2022-04-16 05:43:09.976983
234,call,70000.0,1650614400.0,0.7162999999999999,40476.62,2022-04-16 05:43:09.976983
235,call,60000.0,1650614400.0,0.6897,40476.62,2022-04-16 05:43:09.976983
236,call,37000.0,1650614400.0,0.56,40476.62,2022-04-16 05:43:09.976983
237,call,34000.0,1650614400.0,0.6993,40476.62,2022-04-16 05:43:09.976983
238,call,25000.0,1650614400.0,0.9775,40476.62,2022-04-16 05:43:09.976983
239,call,46000.0,1650614400.0,0.5224,40476.62,2022-04-16 05:43:09.976983
240,call,55000.0,1650614400.0,0.6896,40476.62,2022-04-16 05:43:09.976983
241,call,42000.0,1650614400.0,0.4722,40476.62,2022-04-16 05:43:09.976983
242,call,47000.0,1650614400.0,0.5453,40476.62,2022-04-16 05:43:09.976983
243,call,56000.0,1650614400.0,0.6896,40476.62,2022-04-16 05:43:09.976983
244,call,48000.0,1650614400.0,0.5827,40476.62,2022-04-16 05:43:09.976983
245,call,36000.0,1650614400.0,0.5936,40476.62,2022-04-16 05:43:09.976983
246,call,52000.0,1650614400.0,0.675,40476.62,2022-04-16 05:43:09.976983
247,call,65000.0,1650614400.0,0.7116,40476.62,2022-04-16 05:43:09.976983
248,call,54000.0,1650614400.0,0.6896,40476.62,2022-04-16 05:43:09.976983
249,call,30000.0,1650614400.0,0.8687999999999999,40476.62,2022-04-16 05:43:09.976983
250,call,44000.0,1650614400.0,0.4754,40476.62,2022-04-16 05:43:09.976983
251,call,35000.0,1650614400.0,0.6117,40476.62,2022-04-16 05:43:09.976983
252,call,75000.0,1650614400.0,0.7168000000000001,40476.62,2022-04-16 05:43:09.976983
253,call,41000.0,1650614400.0,0.47509999999999997,40476.62,2022-04-16 05:43:09.976983
254,call,39000.0,1650614400.0,0.5106,40476.62,2022-04-16 05:43:09.976983
255,call,40000.0,1650614400.0,0.4905,40476.62,2022-04-16 05:43:09.976983
256,call,45000.0,1650614400.0,0.5017,40476.62,2022-04-16 05:43:09.976983
257,call,43000.0,1650614400.0,0.46950000000000003,40476.62,2022-04-16 05:43:09.976983
258,call,49000.0,1651219200.0,0.5471,40476.62,2022-04-16 05:43:09.976983
259,call,44000.0,1651219200.0,0.4916,40476.62,2022-04-16 05:43:09.976983
260,call,45000.0,1651219200.0,0.49670000000000003,40476.62,2022-04-16 05:43:09.976983
261,call,60000.0,1651219200.0,0.7445999999999999,40476.62,2022-04-16 05:43:09.976983
262,call,52000.0,1651219200.0,0.5941,40476.62,2022-04-16 05:43:09.976983
263,call,43000.0,1651219200.0,0.4899,40476.62,2022-04-16 05:43:09.976983
264,call,47000.0,1651219200.0,0.5197999999999999,40476.62,2022-04-16 05:43:09.976983
265,call,50000.0,1651219200.0,0.5778,40476.62,2022-04-16 05:43:09.976983
266,call,20000.0,1651219200.0,1.0561,40476.62,2022-04-16 05:43:09.976983
267,call,75000.0,1651219200.0,0.8067,40476.62,2022-04-16 05:43:09.976983
268,call,80000.0,1651219200.0,0.8067,40476.62,2022-04-16 05:43:09.976983
269,call,40000.0,1651219200.0,0.5114,40476.62,2022-04-16 05:43:09.976983
270,call,36000.0,1651219200.0,0.5771999999999999,40476.62,2022-04-16 05:43:09.976983
271,call,39000.0,1651219200.0,0.5251,40476.62,2022-04-16 05:43:09.976983
272,call,35000.0,1651219200.0,0.5979,40476.62,2022-04-16 05:43:09.976983
273,call,55000.0,1651219200.0,0.6768000000000001,40476.62,2022-04-16 05:43:09.976983
274,call,70000.0,1651219200.0,0.8067,40476.62,2022-04-16 05:43:09.976983
275,call,32000.0,1651219200.0,0.6723,40476.62,2022-04-16 05:43:09.976983
276,call,100000.0,1651219200.0,0.9587,40476.62,2022-04-16 05:43:09.976983
277,call,41000.0,1651219200.0,0.4996,40476.62,2022-04-16 05:43:09.976983
278,call,38000.0,1651219200.0,0.54,40476.62,2022-04-16 05:43:09.976983
279,call,34000.0,1651219200.0,0.6285000000000001,40476.62,2022-04-16 05:43:09.976983
280,call,30000.0,1651219200.0,0.7529,40476.62,2022-04-16 05:43:09.976983
281,call,65000.0,1651219200.0,0.8067,40476.62,2022-04-16 05:43:09.976983
282,call,51000.0,1651219200.0,0.5932999999999999,40476.62,2022-04-16 05:43:09.976983
283,call,42000.0,1651219200.0,0.4919,40476.62,2022-04-16 05:43:09.976983
284,call,53000.0,1651219200.0,0.6109,40476.62,2022-04-16 05:43:09.976983
285,call,46000.0,1651219200.0,0.5049,40476.62,2022-04-16 05:43:09.976983
286,call,25000.0,1651219200.0,0.9645,40476.62,2022-04-16 05:43:09.976983
287,call,48000.0,1651219200.0,0.5284,40476.62,2022-04-16 05:43:09.976983
288,call,25000.0,1651824000.0,0.8798999999999999,40476.62,2022-04-16 05:43:09.976983
