,type,strikes,maturities,implied_volatilities,Spot,posixT0
141,put,35000.0,1656057600.0,0.6789000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
142,put,40000.0,1656057600.0,0.6448,42697.35,2022-04-10 05:35:49.727022+00:00
143,put,50000.0,1656057600.0,0.6147,42697.35,2022-04-10 05:35:49.727022+00:00
144,put,250000.0,1656057600.0,1.153,42697.35,2022-04-10 05:35:49.727022+00:00
145,put,80000.0,1656057600.0,0.6965,42697.35,2022-04-10 05:35:49.727022+00:00
146,put,70000.0,1656057600.0,0.6553,42697.35,2022-04-10 05:35:49.727022+00:00
147,put,100000.0,1656057600.0,0.7744,42697.35,2022-04-10 05:35:49.727022+00:00
148,put,75000.0,1656057600.0,0.6757,42697.35,2022-04-10 05:35:49.727022+00:00
149,put,30000.0,1656057600.0,0.7334,42697.35,2022-04-10 05:35:49.727022+00:00
150,put,200000.0,1656057600.0,1.1109,42697.35,2022-04-10 05:35:49.727022+00:00
151,put,20000.0,1656057600.0,0.9094,42697.35,2022-04-10 05:35:49.727022+00:00
152,put,15000.0,1656057600.0,1.0277,42697.35,2022-04-10 05:35:49.727022+00:00
153,put,120000.0,1656057600.0,0.8647,42697.35,2022-04-10 05:35:49.727022+00:00
154,put,42000.0,1656057600.0,0.6356,42697.35,2022-04-10 05:35:49.727022+00:00
155,put,46000.0,1656057600.0,0.6227,42697.35,2022-04-10 05:35:49.727022+00:00
156,put,60000.0,1664524800.0,0.6626000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
157,put,50000.0,1664524800.0,0.6618,42697.35,2022-04-10 05:35:49.727022+00:00
158,put,120000.0,1664524800.0,0.7362000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
159,put,400000.0,1664524800.0,0.9501000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
160,put,20000.0,1664524800.0,0.8190000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
161,put,300000.0,1664524800.0,0.9292,42697.35,2022-04-10 05:35:49.727022+00:00
162,put,350000.0,1664524800.0,0.9315000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
163,put,90000.0,1664524800.0,0.6915,42697.35,2022-04-10 05:35:49.727022+00:00
164,put,250000.0,1664524800.0,0.9013,42697.35,2022-04-10 05:35:49.727022+00:00
165,put,25000.0,1664524800.0,0.7673000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
166,put,100000.0,1664524800.0,0.7023999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
167,put,30000.0,1664524800.0,0.7217,42697.35,2022-04-10 05:35:49.727022+00:00
168,put,65000.0,1664524800.0,0.6613,42697.35,2022-04-10 05:35:49.727022+00:00
169,put,70000.0,1664524800.0,0.6653,42697.35,2022-04-10 05:35:49.727022+00:00
170,put,40000.0,1664524800.0,0.6742,42697.35,2022-04-10 05:35:49.727022+00:00
171,put,35000.0,1664524800.0,0.6917,42697.35,2022-04-10 05:35:49.727022+00:00
172,put,80000.0,1664524800.0,0.677,42697.35,2022-04-10 05:35:49.727022+00:00
173,put,55000.0,1664524800.0,0.6622,42697.35,2022-04-10 05:35:49.727022+00:00
174,put,45000.0,1664524800.0,0.6657,42697.35,2022-04-10 05:35:49.727022+00:00
175,put,150000.0,1664524800.0,0.7691,42697.35,2022-04-10 05:35:49.727022+00:00
176,put,200000.0,1664524800.0,0.8445,42697.35,2022-04-10 05:35:49.727022+00:00
177,put,15000.0,1664524800.0,0.8676,42697.35,2022-04-10 05:35:49.727022+00:00
178,put,90000.0,1672387200.0,0.6747,42697.35,2022-04-10 05:35:49.727022+00:00
179,put,50000.0,1672387200.0,0.6591,42697.35,2022-04-10 05:35:49.727022+00:00
180,put,60000.0,1672387200.0,0.6597,42697.35,2022-04-10 05:35:49.727022+00:00
181,put,15000.0,1672387200.0,0.8341,42697.35,2022-04-10 05:35:49.727022+00:00
182,put,45000.0,1672387200.0,0.6634,42697.35,2022-04-10 05:35:49.727022+00:00
183,put,120000.0,1672387200.0,0.7018000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
184,put,20000.0,1672387200.0,0.7818999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
185,put,250000.0,1672387200.0,0.8565,42697.35,2022-04-10 05:35:49.727022+00:00
186,put,80000.0,1672387200.0,0.6688,42697.35,2022-04-10 05:35:49.727022+00:00
187,put,150000.0,1672387200.0,0.742,42697.35,2022-04-10 05:35:49.727022+00:00
188,put,35000.0,1672387200.0,0.6834,42697.35,2022-04-10 05:35:49.727022+00:00
189,put,55000.0,1672387200.0,0.6594,42697.35,2022-04-10 05:35:49.727022+00:00
190,put,100000.0,1672387200.0,0.6884,42697.35,2022-04-10 05:35:49.727022+00:00
191,put,30000.0,1672387200.0,0.705,42697.35,2022-04-10 05:35:49.727022+00:00
192,put,200000.0,1672387200.0,0.7884,42697.35,2022-04-10 05:35:49.727022+00:00
193,put,25000.0,1672387200.0,0.7337,42697.35,2022-04-10 05:35:49.727022+00:00
194,put,40000.0,1672387200.0,0.6718000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
195,put,300000.0,1672387200.0,0.8904000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
196,put,70000.0,1672387200.0,0.6629,42697.35,2022-04-10 05:35:49.727022+00:00
197,put,150000.0,1680249600.0,0.7302,42697.35,2022-04-10 05:35:49.727022+00:00
198,put,250000.0,1680249600.0,0.7561,42697.35,2022-04-10 05:35:49.727022+00:00
